,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
776,223,92160,Tharun MANNEPALLI,97030,Magnus JOHANNESEN,5242,YONEX German Open 2025,2025-02-25,R32,Win,92160,2
777,2345,74880,Adita RAO,59500,Shreya LELE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,SF,Win,74880,2
778,277,86975,Rithvik Sanjeevi SATISH KUMAR,94119,Daniil DUBOVENKO,5242,YONEX German Open 2025,2025-02-25,Qual. R16,Loss,86975,2
779,336,69967,Manraj SINGH,67900,Tushar SUVEER,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R64,Loss,69967,2
780,2317,96751,Deepshikha SINGH,99201,Rashmi MUDALIGE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,96751,2
781,3462,73913,Dingku Singh KONTHOUJAM,98102,Wen-Hsun HO,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Win,73913,1
782,2157,73387,MANSI SINGH,74880,Adita RAO,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,QF,Loss,73387,1
783,2158,73387,MANSI SINGH,95172,Sakura MASUKI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Win,73387,2
784,2159,73387,MANSI SINGH,93852,Ting Yu LIANG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,73387,1
785,3461,73913,Dingku Singh KONTHOUJAM,50937,Pharanyu KAOSAMAANG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,QF,Loss,73913,2
786,2190,90287,Devika SIHAG,96751,Deepshikha SINGH,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Loss,90287,2
787,307,91651,Meiraba Luwang MAISNAM,66842,Manav CHOUDHARY,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R64,Win,91651,1
788,306,91651,Meiraba Luwang MAISNAM,98979,Byung Jae KIM,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Loss,91651,2
789,3439,77156,Pruthvi KRISHNAMURTHY ROY,86756,Callum HEMMING,5242,YONEX German Open 2025,2025-02-25,R32,Win,77156,1
790,3438,77156,Pruthvi KRISHNAMURTHY ROY,64729,Rasmus KJÆR,5242,YONEX German Open 2025,2025-02-25,R16,Loss,77156,2
791,2218,89501,Aashi RAWAT,75513,Min Ji KIM,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,89501,2
792,3415,69560,Hariharan AMSAKARUNAN,88829,Ching Heng SU,5242,YONEX German Open 2025,2025-02-25,R32,Loss,69560,2
793,2274,81727,Kavipriya SELVAM,58001,SOYUL LEE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,81727,2
794,5327,78330,Anuj KALE,86964,Velayutham POOPATHI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,78330,2
