,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
6614,1747,73173,V. Sindhu PUSARLA,63068,Sandra LE GRANGE,2557,CWG Glasgow 2014,2014-07-29,R32,Win,73173,1
6615,1744,73173,V. Sindhu PUSARLA,53153,Jing Yi TEE,2557,CWG Glasgow 2014,2014-07-29,3/4,Win,73173,1
6617,1746,73173,V. Sindhu PUSARLA,38708,Anna RANKIN,2557,CWG Glasgow 2014,2014-07-29,QF,Win,73173,1
6621,1736,73173,V. Sindhu PUSARLA,84523,Michelle LI,2557,CWG Glasgow 2014,2014-07-29,SF,Loss,73173,2
6622,1745,73173,V. Sindhu PUSARLA,79705,Thilini HENDAHEWA,2557,CWG Glasgow 2014,2014-07-29,R16,Win,73173,1
6623,1738,73173,V. Sindhu PUSARLA,69869,Stella Koteikai AMASAH,2556,Glasgow 2014 Commonwealth Games - Mixed Team Event,2014-07-24,R2,Win,73173,1
6624,1737,73173,V. Sindhu PUSARLA,47646,Xiaoyu LIANG,2556,Glasgow 2014 Commonwealth Games - Mixed Team Event,2014-07-24,3/4,Win,73173,2
6625,1736,73173,V. Sindhu PUSARLA,84523,Michelle LI,2556,Glasgow 2014 Commonwealth Games - Mixed Team Event,2014-07-24,QF,Loss,73173,1
6627,1735,73173,V. Sindhu PUSARLA,18228,Carolina MARIN,1954,The Star Australian Badminton Open 2014,2014-06-24,QF,Loss,73173,2
6628,37,83950,H. S. PRANNOY,14004,Niluka KARUNARATNE,1503,Sri Lanka Open International Badminton Challenge 2014,2014-06-04,R16,Win,83950,1
6631,1736,73173,V. Sindhu PUSARLA,84523,Michelle LI,1477,Swiss Open 2014,2014-03-11,R16,Win,73173,2
6632,55,83950,H. S. PRANNOY,87375,Tzu Wei WANG,1473,Austrian International Challenge 2014,2014-02-19,R16,Loss,83950,1
6634,52,83950,H. S. PRANNOY,93627,Srikanth KIDAMBI,1465,India Grand Prix Gold  2014,2014-01-21,SF,Loss,83950,2
6636,42,83950,H. S. PRANNOY,42776,B. SAI PRANEETH,1631,TATA Open India International Challenge 2013,2013-12-11,SF,Win,83950,1
6637,38,83950,H. S. PRANNOY,25925,Sourabh VERMA,1631,TATA Open India International Challenge 2013,2013-12-11,Final,Loss,83950,1
