team_1_athlete_1_id,team_1_athlete_1_name,team_1_athlete_1_profile_pic,team_1_athlete_1_nationality_name,team_1_athlete_1_national_flag_thumbnail,team_1_athlete_1_dob,team_1_athlete_1_age,team_1_athlete_1_height,team_1_current_rank,team_1_total_wins,team_1_total_points,team_1_career_wins,team_1_career_losses,team_1_current_year_wins,team_1_current_year_losses,team_2_athlete_1_id,team_2_athlete_1_name,team_2_athlete_1_profile_pic,team_2_athlete_1_nationality_name,team_2_athlete_1_national_flag_thumbnail,team_2_athlete_1_dob,team_2_athlete_1_age,team_2_athlete_1_height,team_2_current_rank,team_2_total_wins,team_2_total_points,team_2_career_wins,team_2_career_losses,team_2_current_year_wins,team_2_current_year_losses
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,1,42,206,112,4,8,94119,Daniil DUBOVENKO,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Israel,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/ISR.png,2005-10-20,19.0,188.0,73.0,0,27,83,40,11,4
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,3,126,206,112,4,8,79110,Sholeh AIDIL,https://img.bwfbadminton.com/image/upload/v1604896451/assets/players/thumbnail/79110.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,2000-01-09,25.0,,46.0,0,76,121,60,17,7
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,2,287,206,112,4,8,91554,Anders ANTONSEN,https://img.bwfbadminton.com/image/upload/v1697434685/assets/players/thumbnail/91554.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1997-04-27,28.0,183.0,2.0,5,322,334,124,19,8
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,2,138,206,112,4,8,62855,Rasmus GEMKE,https://img.bwfbadminton.com/image/upload/v1604896110/assets/players/thumbnail/62855.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1997-01-11,28.0,185.0,30.0,1,125,192,123,11,12
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,5,335,206,112,4,8,81561,Zii Jia LEE,https://img.bwfbadminton.com/image/upload/v1616738532/assets/players/thumbnail/81561.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1998-03-29,27.0,186.0,21.0,2,315,265,137,2,2
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,3,263,206,112,4,8,84838,Jun Hao LEONG,https://img.bwfbadminton.com/image/upload/v1604895805/assets/players/thumbnail/84838.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1999-07-13,25.0,173.0,27.0,3,266,159,90,5,12
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,2,316,206,112,4,8,34810,Tien Chen CHOU,https://img.bwfbadminton.com/image/upload/v1658715713/assets/players/thumbnail/34810.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,1990-01-08,35.0,180.0,6.0,4,315,532,298,16,12
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,1,297,206,112,4,8,25831,Viktor AXELSEN,https://img.bwfbadminton.com/image/upload/v1697764072/assets/players/thumbnail/25831.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1994-01-04,31.0,194.0,9.0,8,407,557,159,10,2
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,5,351,206,112,4,8,83950,H. S. PRANNOY,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32.0,179.0,33.0,3,314,283,208,4,12
68870,Lakshya SEN,https://img.bwfbadminton.com/image/upload/v1636508099/assets/players/thumbnail/68870.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2001-08-16,23,179.0,22,5,351,206,112,4,8,83950,H. S. PRANNOY,https://img.bwfbadminton.com/image/upload/v1657773756/assets/players/thumbnail/83950.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1992-07-17,32.0,179.0,33.0,3,314,283,208,4,12
