athlete_id,tournament_name,final_position,tournament_grade,tournament_year,notable_wins,lost_to
70595,YONEX-SUNRISE Odisha Masters 2024,SF,100,2024,"Wang Dai (64), Sin Yan Happy Lo (54)",Tanvi Sharma (70)
70595,YONEX-SUNRISE Vietnam Open 2024,R32,100,2024,,Ciou-Tong Tung (53)
73173,BANK OF NINGBO Badminton Asia Championships 2024,R16,G1_CC,2024,,Yue HAN (4)
73173,CLASH ROYALE Arctic Open 2024 powered by YONEX,R32,500,2024,,Michelle Li (18)
73173,KAPAL API Indonesia Open 2024,R32,1000,2024,,Wen Chi Hsu (25)
73173,KFF Singapore Badminton Open 2024,R16,750,2024,Line Højmark Kjaersfeldt (16),Carolina Marin
73173,Kumamoto Masters Japan 2024,R16,500,2024,Busanan ONGBAMRUNGPHAN (13),Michelle LI (18)
73173,LI-NING China Masters 2024,R16,750,2024,Busanan Ongbamrungphan (13),Jia Min Yeo (11)
73173,Madrid Spain Masters 2024 by IBERDROLA,QF,300,2024,,Supanida Katethong (9)
73173,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,SF,G1_CC,2024,,Aya OHORI
73173,VICTOR Denmark Open 2024,QF,750,2024,Yue Han (4),Gregoria Mariska Tunjung (6)
73173,YONEX All England Open Badminton Championships 2024,R16,1000,2024,,Se Young An (1)
73173,YONEX French Open 2024,QF,750,2024,"Michelle Li (18), Beiwen Zhang (19)",Yu Fei Chen (5)
73173,YONEX Swiss Open 2024,R16,300,2024,,Tomoka Miyazaki (7)
74481,Azerbaijan International 2024,SF,G1_CC,2024,,Malvika BANSOD (23)
74481,CM TROPHY India International Challenge 2024,R16,G1_CC,2024,,Tanvi SHARMA (70)
74481,LI-NING China Masters 2024,R16,750,2024,Beiwen Zhang (19),Natsuki Nidaira (17)
74481,MAXX North Harbour International 2024,R32,G1_CC,2024,,Su Yu CHEN (93)
74481,NMDC - TELANGANA International Challenge 2024,SF,G1_CC,2024,,Isharani BARUAH (79)
74481,ROKETTO Sydney International 2024,QF,G1_CC,2024,,Ching Ping HUANG (71)
74481,SATHIO GROUP Australian Open 2024,R16,500,2024,,Putri Kusuma Wardani (12)
74481,STATE Denmark Challenge 2024 presented by RSL,SF,G1_CC,2024,,Hina Akechi (55)
74481,Sands China Ltd. Macau Open Badminton 2024,R32,300,2024,,Riko Gunji (31)
74481,Syed Modi India International 2024,R16,300,2024,,Tasnim Mir (66)
74481,VICTOR Kaohsiung Masters 2024,R32,100,2024,,Yu-Hsuan Lee (100)
74481,YONEX Canada Open 2024,R16,500,2024,,Michelle Li (18)
74481,YONEX Luxembourg Open 2024,R16,G1_CC,2024,,Devika Sihag
74481,YONEX Taipei Open 2024,R32,300,2024,,Lauren Lam (40)
74481,YONEX-SUNRISE Odisha Masters 2024,R32,100,2024,,Tanvi Sharma (70)
74481,YONEX-SUNRISE Vietnam Open 2024,R32,100,2024,,Isharani Baruah (79)
82572,BNI Badminton Asia Junior Championships 2024 (Individual),R16,G1_CC,2024,,Ho Seong Yoon
82572,BNI Badminton Asia Junior Championships 2024 (Team),QF,G1_CC,2024,,Muhammad FAIQ
82572,YONEX BWF World Junior Championships 2024,QF,G1_CC,2024,,Zi Jun WANG
82572,YONEX-SUNRISE Odisha Masters 2024,R16,100,2024,,Rithvik Sanjeevi Satish Kumar (64)
83950,BANK OF NINGBO Badminton Asia Championships 2024,R16,G1_CC,2024,Guang Zu LU (11),Chun-Yi LIN (14)
83950,DAIHATSU Indonesia Masters 2024,R32,500,2024,,Kean Yew Loh (10)
83950,KAPAL API Indonesia Open 2024,R32,1000,2024,,Priyanshu Rajawat (35)
83950,KFF Singapore Badminton Open 2024,R16,750,2024,,Kenta Nishimoto (13)
83950,PETRONAS Malaysia Open 2024,R32,1000,2024,,Anders Antonsen (3)
83950,SATHIO GROUP Australian Open 2024,QF,500,2024,,Kodai Naraoka (6)
83950,TOYOTA Thailand Open 2024,R32,500,2024,,Meiraba Luwang Maisnam (70)
83950,TotalEnergies BWF Thomas & Uber Cup Finals 2024,QF,G1_CC,2024,,Yu Qi SHI (2)
83950,YONEX All England Open Badminton Championships 2024,R32,1000,2024,,Li  Yang Su (38)
83950,YONEX French Open 2024,R32,750,2024,,Guang Zu Lu (11)
83950,YONEX SUNRISE India Open 2024,SF,750,2024,"Tien Chen Chou (7), Tzu Wei Wang (26)",Yu Qi Shi (2)
91807,Hylo Open 2024,QF,300,2024,Kirsty Gilmour (28),Julie Dawall Jakobsen (30)
91807,LI NING Sri Lanka International Series 2024,R16,G1_CC,2024,,Ruzana RUZANA
91807,STATE Denmark Challenge 2024 presented by RSL,R32,G1_CC,2024,,Amalie Schulz (67)
91807,Syed Modi India International 2024,R16,300,2024,,Luo Yu Wu (56)
91807,VICTOR Kaohsiung Masters 2024,R16,100,2024,,Pin-Chian Chiu (27)
91807,WONDR by BNI Indonesia Masters 2024,QF,100,2024,,Hina Akechi (55)
91807,YONEX Taipei Open 2024,R32,300,2024,,Asuka Takahashi (59)
91807,YONEX-SUNRISE Odisha Masters 2024,QF,100,2024,,Sorano Yoshikawa
91807,YONEX-SUNRISE Vietnam Open 2024,R16,100,2024,,Wang Dai (64)
97168,YONEX BWF World Junior Championships 2024,QF,G1_CC,2024,,Qin Yi DAI
99042,BNI Badminton Asia Junior Championships 2024 (Individual),R16,G1_CC,2024,,Sarunrak Vitidsarn
99042,CM TROPHY India International Challenge 2024,QF,G1_CC,2024,Anupama UPADHYAYA (42),Shriyanshi VALISHETTY (76)
99042,NMDC - TELANGANA International Challenge 2024,R16,G1_CC,2024,,Isharani BARUAH (79)
99042,YONEX BWF World Junior Championships 2024,QF,G1_CC,2024,,Wen Jing XU
99042,YONEX-SUNRISE Guwahati Masters 2024,QF,100,2024,,Luo Yu Wu (56)
