team_1_athlete_1_id,team_1_athlete_1_name,team_1_athlete_1_profile_pic,team_1_athlete_1_nationality_name,team_1_athlete_1_national_flag_thumbnail,team_1_athlete_1_dob,team_1_athlete_1_age,team_1_athlete_1_height,team_1_athlete_2_id,team_1_athlete_2_name,team_1_athlete_2_profile_pic,team_1_athlete_2_nationality_name,team_1_athlete_2_national_flag_thumbnail,team_1_athlete_2_dob,team_1_athlete_2_age,team_1_athlete_2_height,team_1_current_rank,team_1_total_wins,team_1_total_points,team_1_career_wins,team_1_career_losses,team_1_current_year_wins,team_1_current_year_losses,team_2_athlete_1_id,team_2_athlete_1_name,team_2_athlete_1_profile_pic,team_2_athlete_1_nationality_name,team_2_athlete_1_national_flag_thumbnail,team_2_athlete_1_dob,team_2_athlete_1_age,team_2_athlete_1_height,team_2_athlete_2_id,team_2_athlete_2_name,team_2_athlete_2_profile_pic,team_2_athlete_2_nationality_name,team_2_athlete_2_national_flag_thumbnail,team_2_athlete_2_dob,team_2_athlete_2_age,team_2_athlete_2_height,team_2_current_rank,team_2_total_wins,team_2_total_points,team_2_career_wins,team_2_career_losses,team_2_current_year_wins,team_2_current_year_losses
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,2,104,226,105,13,6,96604,Kenya MITSUHASHI,https://img.bwfbadminton.com/image/upload/v1690185602/assets/players/thumbnail/96604.jpg,Japan,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/JPN.png,1997-07-11,27.0,,86479,Hiroki OKAMURA,https://img.bwfbadminton.com/image/upload/v1604895639/assets/players/thumbnail/86479.jpg,Japan,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/JPN.png,1998-12-06,26.0,,29.0,0,84,51,32,2,7
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,0,25,226,105,13,6,61444,Won Ho KIM,https://img.bwfbadminton.com/image/upload/v1604895351/assets/players/thumbnail/61444.jpg,Korea,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/KOR.png,1999-06-02,26.0,184.0,66513,Seung Jae SEO,https://img.bwfbadminton.com/image/upload/v1604895418/assets/players/thumbnail/66513.jpg,Korea,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/KOR.png,1997-09-04,27.0,182.0,4.0,1,42,72,19,35,4
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,6,447,226,105,13,6,84064,Yew Sin ONG,https://img.bwfbadminton.com/image/upload/v1604895617/assets/players/thumbnail/84064.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1995-01-30,30.0,181.0,99066,Ee Yi TEO,https://img.bwfbadminton.com/image/upload/v1604895769/assets/players/thumbnail/99066.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1993-04-04,32.0,174.0,31.0,3,443,183,141,2,8
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,2,84,226,105,13,6,70443,Nur Mohd Azriyn Ayub AZRIYN,https://img.bwfbadminton.com/image/upload/v1604895472/assets/players/thumbnail/70443.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1993-07-19,31.0,,52071,Wee Kiong TAN,https://img.bwfbadminton.com/image/upload/v1604895111/assets/players/thumbnail/52071.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1989-05-21,36.0,176.0,25.0,0,56,36,36,3,11
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,2,100,226,105,13,6,58986,Ming Che LU,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,1998-12-21,26.0,,72372,Kai  Wei TANG,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,1998-06-29,26.0,,45.0,0,59,38,40,3,7
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,4,411,226,105,13,6,92980,Kim ASTRUP,https://img.bwfbadminton.com/image/upload/v1636531494/assets/players/thumbnail/92980.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1992-03-06,33.0,185.0,44414,Anders Skaarup RASMUSSEN,https://img.bwfbadminton.com/image/upload/v1636531127/assets/players/thumbnail/44414.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1989-02-15,36.0,189.0,3.0,6,417,383,197,10,8
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,4,204,226,105,13,6,99102,Jhe-Huei LEE,https://img.bwfbadminton.com/image/upload/v1604896182/assets/players/thumbnail/99102.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,1994-03-20,31.0,180.0,76275,Po-Hsuan YANG,https://img.bwfbadminton.com/image/upload/v1657773412/assets/players/thumbnail/76275.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,1996-08-23,28.0,186.0,20.0,0,179,136,98,8,10
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,4,244,226,105,13,6,88876,Fajar ALFIAN,https://img.bwfbadminton.com/image/upload/v1689648880/assets/players/thumbnail/88876.jpg,Indonesia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/INA.png,1996-03-07,29.0,177.0,91130,Muhammad Rian ARDIANTO,https://img.bwfbadminton.com/image/upload/v1690160931/assets/players/thumbnail/91130.jpg,Indonesia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/INA.png,1996-02-13,29.0,175.0,5.0,2,221,329,140,17,8
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,3,126,226,105,13,6,89416,Lucas CORVEE,https://img.bwfbadminton.com/image/upload/v1721630658/assets/players/thumbnail/89416.jpg,France,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/FRA.png,1993-06-09,32.0,190.0,22038,Ronan LABAR,https://img.bwfbadminton.com/image/upload/v1721630720/assets/players/thumbnail/22038.jpg,France,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/FRA.png,1989-05-03,36.0,191.0,215.0,0,86,57,61,0,0
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,1,42,226,105,13,6,93130,Bo Yang CHEN,https://img.bwfbadminton.com/image/upload/v1690181900/assets/players/thumbnail/93130.jpg,China,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/CHN.png,2000-05-06,25.0,,71223,Yi LIU,https://img.bwfbadminton.com/image/upload/v1690181939/assets/players/thumbnail/71223.jpg,China,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/CHN.png,2003-07-07,21.0,,12.0,0,30,69,39,12,8
