team_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
61,Treesa Jolly & Gayatri Gopichand Pullela,4747,KFF Singapore Badminton Open 2024,2024,2 June,SF,Ha Na Baek & So Hee Lee (4),Nami Matsuyama & Chiharu Shida (2)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,4746,PERODUA Malaysia Masters 2024,2024,26 May,R16,,Shuo Yun SUNG & Chien Hui YU (16)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R32,,Sheng Shu LIU & Ning TAN (1)
61,Treesa Jolly & Gayatri Gopichand Pullela,4743,Madrid Spain Masters 2024 by IBERDROLA,2024,31 March,R32,,Annie Xu & Kerry Xu
61,Treesa Jolly & Gayatri Gopichand Pullela,4742,YONEX Swiss Open 2024,2024,24 March,QF,,Setyana Mapasa & Angela Yu
61,Treesa Jolly & Gayatri Gopichand Pullela,4741,YONEX All England Open Badminton Championships 2024,2024,17 March,R32,,Apriyani Rahayu & Siti Fadia Silva Ramadhanti
61,Treesa Jolly & Gayatri Gopichand Pullela,4762,YONEX French Open 2024,2024,10 March,QF,,Qing Chen Chen & Yi Fan Jia (13)
61,Treesa Jolly & Gayatri Gopichand Pullela,4739,YONEX German Open 2024,2024,3 March,QF,,Yi Jing Li & Xu Min Luo (6)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,SF,Nami MATSUYAMA & Chiharu SHIDA (2),Ka Yan FAN & Mau Ying YAU (58)
61,Treesa Jolly & Gayatri Gopichand Pullela,4738,PRINCESS SIRIVANNAVARI Thailand Masters 2024,2024,4 February,QF,,Febriana Dwipuji Kusuma & Amallia Cahaya Pratiwi (10)
61,Treesa Jolly & Gayatri Gopichand Pullela,4736,YONEX SUNRISE India Open 2024,2024,21 January,R32,,Nami Matsuyama & Chiharu Shida (2)
116,Dhruv Kapila & Tanisha Crasto,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,SF,,Han Yu Zhang & Li Jing Bao (82)
116,Dhruv Kapila & Tanisha Crasto,4767,Syed Modi India International 2024,2024,1 December,SF,,Dechapol Puavaranukroh & Supissara Paewsampran (5)
116,Dhruv KAPILA & Tanisha CRASTO,5083,MAXX North Harbour International 2024,2024,26 October,R16,,Pramudya KUSUMAWARDANA & Gronya SOMERVILLE
116,Dhruv Kapila & Tanisha Crasto,4875,YONEX-SUNRISE Vietnam Open 2024,2024,15 September,SF,,Adnan Maulana & Indah Cahya Sari Jamil (27)
116,Dhruv Kapila & Tanisha Crasto,4755,YONEX Taipei Open 2024,2024,8 September,QF,,Pakkapon Teeraratsakul & Phataimas Muenwong (26)
116,Dhruv Kapila & Tanisha Crasto,4874,WONDR by BNI Indonesia Masters 2024,2024,1 September,SF,,Jafar Hidayatullah & Felisha Alberta Nathaniel Pasaribu (14)
116,Dhruv KAPILA & Sai PRATHEEK.K,5147,TotalEnergies BWF Thomas & Uber Cup Finals 2024,2024,5 May,QF,,Ji Ting HE & Xiang Yu REN (14)
116,M.R. ARJUN & Dhruv KAPILA,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R32,,Yu Chen LIU & Xuan Yi OU
116,M.R. Arjun & Dhruv Kapila,4743,Madrid Spain Masters 2024 by IBERDROLA,2024,31 March,QF,,Junaidi Arif & Roy King Yap (24)
116,M.R. Arjun & Dhruv Kapila,5002,ORLEN Polish Open 2024,2024,24 March,SF,,
116,M.R. Arjun & Dhruv Kapila,4740,Orleans Masters Badminton presented by VICTOR 2024,2024,17 March,R16,,Di Huang & Yi Liu
116,M.R. ARJUN & Dhruv KAPILA,4868,Uganda International Challenge 2024,2024,25 February,SF,,
116,M.R. ARJUN & Dhruv KAPILA,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,R2,,Bo Yang CHEN & Yi LIU (11)
116,M.R. Arjun & Dhruv Kapila,4736,YONEX SUNRISE India Open 2024,2024,21 January,R32,,Yang Lee & Chi-Lin Wang
116,M.R. Arjun & Dhruv Kapila,4735,PETRONAS Malaysia Open 2024,2024,14 January,R32,,Fang-Chih Lee & Fang-Jen Lee (23)
